,Solvent-Combo,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,Octanol-water,SAMPL8-1,0.8255555555555555,1.4677777777777778,1.4677777777777778
1,Octanol-water,SAMPL8-5,2.0970000000000004,2.1109999999999998,2.1109999999999998
2,Octanol-water,SAMPL8-6,1.0677777777777777,1.3144444444444445,1.3144444444444445
3,Octanol-water,SAMPL8-7,1.0699999999999998,1.8559999999999999,1.8559999999999999
4,Octanol-water,SAMPL8-9,0.9755555555555555,1.1977777777777776,1.1977777777777776
5,Octanol-water,SAMPL8-10,1.578888888888889,1.7033333333333334,1.7033333333333334
6,Octanol-water,SAMPL8-12,0.6155555555555554,1.4244444444444442,1.4244444444444442
7,Octanol-water,SAMPL8-14,-1.4900000000000002,3.1455555555555557,3.1455555555555557
8,Octanol-water,SAMPL8-16,1.3888888888888888,1.391111111111111,1.391111111111111
9,Cyclohexane-water,SAMPL8-5,1.9014285714285717,2.3185714285714285,2.3185714285714285
10,Ethyl acetate-water,SAMPL8-1,3.1283333333333325,3.1283333333333325,3.1283333333333325
11,Ethyl acetate-water,SAMPL8-17,2.9966666666666666,3.186666666666666,3.186666666666666
12,Ethyl acetate-water,SAMPL8-3,-4.8500000000000005,6.553333333333334,6.553333333333334
13,Ethyl acetate-water,SAMPL8-5,2.78,2.78,2.78
14,Ethyl acetate-water,SAMPL8-6,1.78,2.046666666666667,2.046666666666667
15,Ethyl acetate-water,SAMPL8-9,3.473333333333333,3.473333333333333,3.473333333333333
16,Ethyl acetate-water,SAMPL8-10,2.2933333333333334,2.31,2.31
17,Ethyl acetate-water,SAMPL8-12,2.125,2.125,2.125
18,Ethyl acetate-water,SAMPL8-14,-2.893333333333333,3.47,3.47
19,Ethyl acetate-water,SAMPL8-16,2.823333333333333,2.8666666666666667,2.8666666666666667
20,Heptane-water,SAMPL8-1,1.6442,1.9042000000000001,1.9042000000000001
21,Heptane-water,SAMPL8-16,0.6980000000000001,1.582,1.582
22,Heptane-water,SAMPL8-5,1.3459999999999999,1.658,1.658
23,Heptane-water,SAMPL8-10,-0.18000000000000002,2.108,2.108
24,MEK-water,SAMPL8-1,2.867142857142857,2.867142857142857,2.867142857142857
25,MEK-water,SAMPL8-3,-5.048571428571429,6.885714285714286,6.885714285714286
26,MEK-water,SAMPL8-5,3.32375,3.32375,3.32375
27,MEK-water,SAMPL8-6,2.04,2.045714285714286,2.045714285714286
28,MEK-water,SAMPL8-7,0.6512500000000001,2.5862499999999997,2.5862499999999997
29,MEK-water,SAMPL8-9,1.2614285714285711,2.704285714285714,2.704285714285714
30,MEK-water,SAMPL8-10,1.7714285714285711,3.3885714285714283,3.3885714285714283
31,MEK-water,SAMPL8-12,0.6885714285714286,3.3085714285714287,3.3085714285714287
32,MEK-water,SAMPL8-14,-3.3628571428571425,5.571428571428571,5.571428571428571
33,MEK-water,SAMPL8-16,1.6400000000000001,1.8114285714285714,1.8114285714285714
34,MEK-water,SAMPL8-17,1.5557142857142858,3.132857142857143,3.132857142857143
35,TBME-water,SAMPL8-1,2.7083333333333335,3.125,3.125
36,TBME-water,SAMPL8-5,2.44,2.6571428571428575,2.6571428571428575
37,TBME-water,SAMPL8-6,1.1033333333333335,2.4333333333333336,2.4333333333333336
38,TBME-water,SAMPL8-10,1.905,2.981666666666667,2.981666666666667
39,TBME-water,SAMPL8-16,2.1933333333333334,2.3000000000000003,2.3000000000000003
40,Cyclohexane-DMF,SAMPL8-1,-2.3416666666666663,2.765,2.765
41,Cyclohexane-DMF,SAMPL8-6,-4.925,4.925,4.925
42,Cyclohexane-DMF,SAMPL8-16,-2.235,2.235,2.235
