,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,SAMPL8-1,0.8666666666665966,1.703333333333325,1.703333333333325
1,SAMPL8-2,1.2316666666665925,2.1883333333333015,2.1883333333333015
2,SAMPL8-3,0.72499999999993,1.39166666666664,1.39166666666664
3,SAMPL8-4,-0.9116666666667363,2.8100000000000267,2.8100000000000267
4,SAMPL8-5,-0.4533333333333987,2.0533333333333377,2.0533333333333377
5,SAMPL8-7,4.019999999999909,4.345999999999923,4.345999999999923
6,SAMPL8-8,0.7283333333332678,1.731666666666639,1.731666666666639
7,SAMPL8-9,4.509999999999909,4.9459999999999225,4.9459999999999225
8,SAMPL8-10,-0.5850000000000785,1.326666666666676,1.326666666666676
9,SAMPL8-12,8.30888888888878,8.30888888888878,8.30888888888878
10,SAMPL8-14,2.39666666666658,3.15333333333327,3.15333333333327
11,SAMPL8-15,1.4183333333332673,2.3283333333333043,2.3283333333333043
12,SAMPL8-16,0.5999999999999271,1.5999999999999825,1.5999999999999825
13,SAMPL8-17,4.06999999999991,5.239999999999957,5.239999999999957
14,SAMPL8-18,6.961818181818094,6.961818181818094,6.961818181818094
15,SAMPL8-20,-2.8566666666667344,5.000000000000024,5.000000000000024
16,SAMPL8-21,3.2699999999999165,4.543333333333282,4.543333333333282
17,SAMPL8-22,8.449090909090815,8.449090909090815,8.449090909090815
